=== Gefundene PMB-Treffer ===
10329.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10330.xml  [person]  "Orth, Alexander"  (no-match)
10330.xml  [person]  "Wilfferodt (Jurist, Leipzig)"  (no-match)
10331.xml  [person]  "Orth, Alexander"  (no-match)
10331.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10332.xml  [person]  "Orth, Alexander"  (no-match)
10333.xml  [org]  "Albert Bonniers Förlag (Stockholm)"  (no-match)
10333.xml  [person]  "Alennius, Linnea (Übersetzerin, Schweden)"  (no-match)
10333.xml  [person]  "Bonnier, Albert"  (no-match)
10334.xml  [org]  "Albert Bonniers Förlag (Stockholm)"  (no-match)
10334.xml  [person]  "Bonnier, Albert"  (no-match)
10334.xml  [org]  "Großherzogliches Hoftheater zu Karlsruhe"  (no-match)
10334.xml  [org]  "Königlich Württembergisches Hof-Theater Stuttgart"  (no-match)
10334.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10334.xml  [org]  "Schauspielhaus Köln"  (no-match)
10335.xml  [org]  "Breslauer Stadttheater"  (no-match)
10335.xml  [org]  "Frankfurter Komödienhaus"  (no-match)
10335.xml  [org]  "Königsberger Stadttheater"  (no-match)
10335.xml  [org]  "Stadttheater Bonn"  (no-match)
10335.xml  [org]  "Strassburger Stadttheater"  (no-match)
10336.xml  [person]  "Shubert, Lee (Zuordnung unsicher; evtl. einer seiner jüngeren Brüder)"  (no-match)
10337.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10337.xml  [place]  "Banja Luka"  (no-match)
10338.xml  [person]  "Maixdorff, Karl von"  (no-match)
10351.xml  [org]  "Király szinház Budapest"  (no-match)
10355.xml  [org]  "Breslauer Stadttheater"  (no-match)
10355.xml  [org]  "Großherzogliches Hoftheater Weimar"  (no-match)
10355.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10355.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10355.xml  [org]  "Schauspielhaus Hannover"  (no-match)
10355.xml  [org]  "Stadttheater Bonn"  (no-match)
10355.xml  [org]  "Stadttheater Görlitz"  (no-match)
10355.xml  [org]  "Stadttheater Koblenz"  (no-match)
10355.xml  [org]  "Stadttheater Krefeld"  (no-match)
10355.xml  [org]  "Stadttheater Nürnberg"  (no-match)
10355.xml  [org]  "Stadttheater Regensburg"  (no-match)
10355.xml  [org]  "Strassburger Stadttheater"  (no-match)
10355.xml  [org]  "Volkstheater Königshütte"  (no-match)
10356.xml  [person]  "Břečka, Vojtěch (Übersetzer, Prag)"  (no-match)
10357.xml  [person]  "Břečka, Vojtěch (Übersetzer, Prag)"  (no-match)
10360.xml  [person]  "Baumfeld, Maurice"  (no-match)
10363.xml  [org]  "Königlich Württembergisches Hof-Theater Stuttgart"  (no-match)
10363.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10366.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10366.xml  [org]  "Neue Freie Volksbühne Berlin"  (no-match)
10366.xml  [org]  "Theater der Deutschen Bühne Berlin"  (no-match)
10367.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10376.xml  [org]  "Hugo Gebers Förlag (Stockholm)"  (no-match)
10377.xml  [bibl]  "Neue Romanreihe (Buchreihe, S. Fischer?)"  (no-match)
10378.xml  [bibl]  "Neue Romanreihe (Buchreihe, S. Fischer?)"  (no-match)
10383.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10384.xml  [person]  "Fred, Alfred W."  (no-match)
10385.xml  [person]  "Fred, Alfred W."  (no-match)
10392.xml  [bibl]  "Das XXV. Jahr (Fischer-Verlag)"  (no-match)
10392.xml  [place]  "Hotel Elisabethhof Bad Gastein"  (no-match)
10393.xml  [bibl]  "Emil Lucka: Isolde Weisshard"  (no-match)
10393.xml  [person]  "Jank, Angelo"  (no-match)
10393.xml  [org]  "Hebbeltheater (Theater in der Königgrätzer Straße) Berlin"  (no-match)
10394.xml  [bibl]  "Das XXV. Jahr (Fischer-Verlag)"  (no-match)
10395.xml  [org]  "Nationaltheater Prag"  (no-match)
10397.xml  [person]  "Szalit, Julius"  (no-match)
10399.xml  [org]  "Leipziger Expedition (Buchhandelsorganisation)"  (no-match)
